NMS: 33333
CMTS: pl-crw01a-br06
Interfejsy: C1/0/0, C1/0/1, C1/0/2, C1/0/3, C1/0/4, C1/0/5, C1/0/6, C1/0/7, C2/0/0, C2/0/1, C2/0/2, C2/0/3, C2/0/4, C2/0/5, C2/0/6, C2/0/7, C3/0/0, C3/0/1, C3/0/2, C3/0/4, C3/0/5, C3/0/6, C3/0/7, C6/0/0, C6/0/1, C6/0/2, C6/0/3, C6/0/4, C6/0/5, C6/0/6, C6/0/7, C7/0/0, C7/0/1, C7/0/2, C7/0/3, C7/0/4, C7/0/5, C7/0/6, C7/0/7
Data: 27.04.2026, 10:18:06

MAC               IP               Interfejs        Status  dBmV
905c.44ed.e2b7    10.236.142.62    C1/0/0/UB        1       -0.50
e882.5b87.0d8a    10.236.138.116   C1/0/0/UB        1       0.00
c4eb.42da.9426    10.219.231.192   C1/0/0/UB        1       0.00
1834.afa5.85dd    10.236.131.8     C1/0/0/UB        1       0.00
f834.5a76.3ace    10.219.235.208   C1/0/0/UB        1       0.00
3843.7d2a.7c77    10.219.224.51    C1/0/0/UB        1       -1.00
2cec.f703.d140    10.236.149.0     C1/0/0/UB        1       0.00
5c7b.5c6f.4f30    10.236.133.50    C1/0/0/UB        1       0.00
64fd.964f.cdc1    10.219.247.247   C1/0/0/UB        1       0.00
2cec.f715.243c    10.219.227.184   C1/0/0/UB        1       0.00
2cec.f704.dc34    10.236.129.5     C1/0/0/UB        1       0.00
2ca1.7d7d.43c3    10.236.147.112   C1/0/0/UB        1       -0.50
54e2.e04f.6c85    10.236.146.2     C1/0/0/UB        1       -0.50
6412.69bc.6a68    10.236.145.158   C1/0/0/UB        1       0.00
a0c5.626a.9e2c    10.236.139.110   C1/0/0/UB        1       0.50
5467.51f1.09b2    10.219.230.244   C1/0/0/UB        1       -1.00
b49d.fdb8.4322    10.236.155.5     C1/0/0/UB        1       0.00
342c.c4b0.f4f6    10.219.243.12    C1/0/0/UB        1       -0.50
342c.c4d0.b893    10.236.132.125   C1/0/0/UB        1       0.50
c4eb.3950.2a44    10.236.135.132   C1/0/0/UB        1       0.00
e882.5b1c.7445    10.236.146.47    C1/0/0/UB        1       -0.50
2ca1.7d92.e66b    10.219.255.16    C1/0/0/UB        1       0.50
a0c5.6267.7d14    10.236.152.188   C1/0/0/UB        1       -1.00
6802.b8ce.2683    10.219.245.80    C1/0/0/UB        1       0.00
a0c5.626f.b85c    10.236.135.67    C1/0/0/UB        1       -0.50
5467.51ac.4098    10.236.131.86    C1/0/0/UB        1       -0.50
a0c5.6269.b43c    10.236.159.136   C1/0/0/UB        1       -1.00
5c7b.5c46.00ec    10.219.247.47    C1/0/0/UB        1       0.00
