NMS: 1235321
CMTS: pl-gdn04a-br03
Interfejsy: C2/0/0, C2/0/1, C2/0/2, C2/0/3, C2/0/4, C2/0/5, C2/0/6, C2/0/7, C3/0/0, C3/0/1, C3/0/2, C3/0/3, C3/0/4, C3/0/5, C3/0/6, C3/0/7, C1/0/0, C1/0/1, C1/0/2, C1/0/3, C1/0/4, C1/0/5, C1/0/6, C1/0/7, C6/0/0, C6/0/1, C6/0/2, C6/0/3, C6/0/4, C6/0/5, C6/0/6, C6/0/7, C7/0/2, C7/0/3, C7/0/4, C7/0/5, C7/0/6, C7/0/7, C8/0/0, C8/0/1, C8/0/2, C8/0/3, C8/0/4, C8/0/5, C8/0/6, C8/0/7, C9/0/0, C9/0/1, C9/0/2, C9/0/3, C9/0/4, C9/0/5, C9/0/6, C9/0/7
Data: 23.04.2026, 16:10:43

MAC               IP               Interfejs        Status  dBmV
5467.51a9.1c3b    10.155.219.194   C1/0/0/UB        1       0.00
342c.c4bc.4ef7    10.233.17.56     C1/0/0/UB        1       0.00
905c.44bf.065a    10.233.23.192    C1/0/0/UB        1       0.00
905c.448e.76a6    10.233.3.184     C1/0/0/UB        1       0.50
dc53.7caa.a48c    10.233.13.18     C1/0/0/UB        1       0.00
3843.7d0a.b765    10.155.210.129   C1/0/0/UB        1       1.00
905c.4465.92b9    10.155.204.188   C1/0/0/UB        1       0.00
3843.7db3.7332    10.233.11.32     C1/0/0/UB        1       0.00
342c.c4b0.b4e5    10.233.14.46     C1/0/0/UB        1       -1.00
ac22.050c.eaf5    10.233.27.17     C1/0/0/UB        1       -1.00
ac22.056c.ad2a    10.233.10.174    C1/0/0/UB        1       0.00
905c.44bf.fa77    10.155.201.42    C1/0/0/UB        1       -1.00
342c.c44f.83be    10.155.205.198   C1/0/0/UB        1       0.00
ac22.0541.6275    10.233.29.161    C1/0/0/UB        1       0.00
ac22.05b8.8c1e    10.233.19.209    C1/0/0/UB        1       -1.00
905c.4441.0770    10.233.13.171    C1/0/0/UB        1       0.00
5467.5138.e8e3    10.155.200.70    C1/0/0/UB        1       -0.50
905c.44b6.9f6f    10.233.13.81     C1/0/0/UB        1       0.50
b4f2.672f.f364    10.233.26.105    C1/0/0/UB        1       0.00
ac22.059d.12fe    10.233.21.79     C1/0/0/UB        1       -1.00
342c.c46f.5073    10.155.200.230   C1/0/0/UB        1       0.00
905c.4419.8af3    10.233.28.171    C1/0/0/UB        1       0.00
3843.7d7e.1fba    10.233.1.252     C1/0/0/UB        1       0.00
ac22.050d.e43d    10.233.21.107    C1/0/0/UB        1       -1.00
905c.448e.71b1    10.233.18.55     C1/0/0/UB        1       0.00
905c.4444.c9c8    10.233.29.191    C1/0/0/UB        1       0.00
ac22.0545.7285    10.233.23.242    C1/0/0/UB        1       0.00
ac22.056f.96bf    10.155.199.129   C1/0/0/UB        1       0.00
ac22.050c.df58    10.155.205.253   C1/0/0/UB        1       0.00
ac22.05bf.4d3b    10.155.192.134   C1/0/0/UB        1       -0.50
ac22.0545.2587    10.233.9.205     C1/0/0/UB        1       -0.50
905c.4490.e085    10.233.7.172     C1/0/0/UB        1       -0.50
3843.7df7.8550    10.233.30.21     C1/0/0/UB        1       0.00
3843.7da2.5d86    10.233.13.253    C1/0/0/UB        1       0.00
b4f2.6722.ddff    10.233.14.93     C1/0/0/UB        1       0.00
5467.51a9.1adf    10.155.205.252   C1/0/0/UB        1       0.50
342c.c4bb.8c5d    10.155.207.0     C1/0/0/UB        1       0.00
342c.c427.398d    10.155.194.122   C1/0/0/UB        1       0.00
ac22.05d6.da9e    10.233.10.150    C1/0/0/UB        1       -0.50
ac22.05b8.cfd4    10.155.192.27    C1/0/0/UB        1       0.00
ac22.05ef.7093    10.233.17.124    C1/0/0/UB        1       0.50
ac22.05be.be97    10.233.8.227     C1/0/0/UB        1       -0.50
905c.44c0.01b5    10.155.193.234   C1/0/0/UB        1       -0.50
3843.7d0a.7ade    10.233.24.57     C1/0/0/UB        1       -0.50
5467.51ee.c382    10.233.1.21      C1/0/0/UB        1       -0.50
905c.4468.68d1    10.233.20.98     C1/0/0/UB        1       0.00
342c.c4b1.fe40    10.155.199.47    C1/0/0/UB        1       0.00
3843.7d51.3089    10.155.199.88    C1/0/0/UB        1       -1.00
905c.4489.9eb9    10.155.222.94    C1/0/0/UB        1       0.50
ac22.0545.2ef0    10.155.203.181   C1/0/0/UB        1       -0.50
905c.448f.61ba    10.233.7.107     C1/0/0/p         1       0.00
5c7b.5c47.5cb0    10.233.30.14     C1/0/0/UB        1       0.00
6802.b87f.e345    10.233.1.149     C1/0/0/UB        1       0.00
3843.7db3.2091    10.155.202.125   C1/0/0/UB        1       0.00
342c.c470.0dc4    10.233.5.150     C1/0/0/UB        1       -1.00
2ca1.7d84.a97b    10.233.8.130     C1/0/0/UB        1       -0.50
5823.8ca7.fb76    10.233.20.187    C1/0/0/UB        1       -1.50
c4eb.42da.c8e5    10.233.1.174     C1/0/0/UB        1       0.00
e457.40ef.ee56    10.233.20.73     C1/0/0/UB        1       0.00
1834.afd5.da65    10.233.18.169    C1/0/0/UB        1       0.00
24e4.ce8e.068f    10.155.202.80    C1/0/0/UB        1       0.00
