NMS: 561242
CMTS: pl-waw18a-br02
Interfejsy: C2/0/0, C2/0/1, C2/0/2, C2/0/3, C2/0/4, C2/0/5, C2/0/6, C2/0/7, C6/0/0, C6/0/1, C6/0/2, C6/0/3, C6/0/4, C6/0/5, C6/0/6, C6/0/7
Data: 24.04.2026, 11:42:03

MAC               IP               Interfejs        Status  dBmV
b4f2.6723.5b15    10.247.138.117   C2/0/0/UB        1       -0.50
54e2.e04f.669d    10.161.35.113    C2/0/0/UB        1       0.50
24e4.cea5.cc18    10.161.35.232    C2/0/0/UB        1       0.00
44aa.f5cd.f79f    10.161.60.165    C2/0/0/UB        1       0.50
3843.7df7.18db    10.204.45.111    C2/0/0/UB        1       -1.00
a0c5.626c.c80c    10.161.42.8      C2/0/0/UB        1       0.00
905c.443e.5318    10.161.35.189    C2/0/0/UB        1       0.00
ac22.05d5.f9b9    10.161.54.70     C2/0/0/UB        1       0.50
905c.4418.0bd4    10.204.32.129    C2/0/0/UB        1       -0.50
a0c5.6266.f7c4    10.161.47.64     C2/0/0/UB        1       -0.50
342c.c408.68cb    10.204.36.8      C2/0/0/UB        1       0.00
9839.1030.9e50    10.161.50.0      C2/0/0/UB        1       0.00
dc53.7cc1.c658    10.204.63.162    C2/0/0/UB        1       -0.50
b4f2.670d.9f73    10.204.39.34     C2/0/0/UB        1       0.00
ac22.0543.7e90    10.161.46.131    C2/0/0/UB        1       -0.50
ac22.059d.1aed    10.204.38.191    C2/0/0/p         1       *0.00
d42c.0fd0.a6c6    10.161.32.95     C2/0/0/UB        1       -0.50
905c.448f.1f60    10.204.57.192    C2/0/0/UB        1       0.00
2ca1.7d8e.7a6b    10.161.45.93     C2/0/0/UB        1       0.00
e882.5b1a.f005    10.161.59.173    C2/0/0/UB        1       0.50
6802.b8cd.d568    10.161.34.15     C2/0/0/UB        1       -0.50
342c.c499.57bc    10.161.62.122    C2/0/0/UB        1       -1.00
b4f2.671b.1500    10.161.50.135    C2/0/0/UB        1       0.00
5467.51f9.0d4c    10.161.36.77     C2/0/0/UB        1       0.00
2ca1.7d06.75e4    10.161.61.32     C2/0/0/UB        1       0.50
342c.c4ba.7f80    10.161.61.43     C2/0/0/UB        1       !-2.50
905c.4445.4fcf    10.247.138.146   C2/0/0/UB        1       0.00
ac22.0533.f56b    10.247.133.249   C2/0/0/UB        1       0.50
5c7b.5ce5.6e28    10.204.33.253    C2/0/0/UB        1       0.00
ac22.0539.1c5d    10.204.38.142    C2/0/0/UB        1       0.50
e882.5ba5.0d05    10.161.48.45     C2/0/0/UB        1       0.00
342c.c4ba.87c9    10.204.45.97     C2/0/0/UB        1       0.00
a0c5.626f.11ac    10.161.44.94     C2/0/0/UB        1       0.50
2ca1.7d7e.42bb    10.204.33.102    C2/0/0/UB        1       0.00
342c.c46d.b55e    10.204.58.94     C2/0/0/UB        1       0.50
342c.c4e3.8f55    10.204.43.16     C2/0/0/UB        1       -1.00
44aa.f56a.be96    10.161.32.203    C2/0/0/UB        1       -0.50
ac22.0506.b441    10.204.45.42     C2/0/0/UB        1       0.00
9839.1030.18a8    10.204.52.239    C2/0/0/UB        1       0.00
5467.51f1.6d75    10.204.39.2      C2/0/0/UB        1       -0.50
342c.c4ee.a00b    10.161.49.86     C2/0/0/UB        1       -0.50
b0b3.6935.f637    10.204.59.119    C2/0/0/UB        1       0.00
24e4.ce8e.3b7f    10.161.39.218    C2/0/0/UB        1       0.50
1834.afa4.ddc8    10.161.36.58     C2/0/0/UB        1       0.00
5467.51ce.693b    10.161.49.64     C2/0/0/UB        1       0.00
342c.c4a2.e7f1    10.161.57.20     C2/0/0/UB        1       !-1.00
b4f2.6739.7fb8    10.204.32.171    C2/0/0/UB        1       -0.50
e457.40fb.c18b    10.204.41.76     C2/0/0/UB        1       0.00
6802.b8c2.b8f6    10.161.52.52     C2/0/0/UB        1       -0.50
2ca1.7d7f.4c53    10.161.52.141    C2/0/0/UB        1       0.50
44aa.f5d1.6f2f    10.204.54.1      C2/0/0/UB        1       -0.50
80f5.03ff.14f8    10.161.63.104    C2/0/0/UB        1       0.50
342c.c4e3.3b46    10.161.34.202    C2/0/0/UB        1       !-1.50
342c.c454.e785    10.204.57.253    C2/0/0/UB        1       0.50
5c7b.5c38.4696    10.161.52.99     C2/0/0/UB        1       0.00
2ca1.7d7b.4e2b    10.161.51.207    C2/0/0/UB        1       -1.00
2ca1.7d83.2e53    10.161.36.103    C2/0/0/UB        1       -1.00
a0c5.626d.acec    10.161.38.116    C2/0/0/UB        1       -0.50
5c7b.5c44.b614    10.161.32.39     C2/0/0/UB        1       -0.50
ac22.0504.8344    10.204.57.195    C2/0/0/UB        1       -0.50
905c.44b6.6a08    10.204.54.120    C2/0/0/UB        1       0.00
1834.afd6.3e3a    10.161.61.126    C2/0/0/UB        1       0.00
905c.4467.e7d1    10.204.46.253    C2/0/0/UB        1       0.00
2ca1.7d8f.8b2b    10.161.49.189    C2/0/0/UB        1       0.00
2c1d.b8a6.64f6    10.161.36.46     C2/0/0/UB        1       -0.50
2ca1.7d87.1563    10.161.57.47     C2/0/0/UB        1       -1.00
2ca1.7d91.7513    10.161.49.149    C2/0/0/UB        1       -1.00
342c.c463.ab9d    10.204.59.45     C2/0/0/UB        1       0.00
0036.766c.2e46    10.161.44.154    C2/0/0/UB        1       0.00
446a.b7f7.a9dc    10.161.59.19     C2/0/0/UB        1       -0.50
a0c5.6267.e474    10.204.42.161    C2/0/0/UB        1       0.50
2c1d.b8a2.c9d6    10.161.44.178    C2/0/0/UB        1       0.00
b0b3.6978.1ef7    10.161.53.145    C2/0/0/UB        1       0.00
e882.5b18.fdf5    10.161.41.43     C2/0/0/UB        1       0.00
6412.69bc.30f0    10.161.54.198    C2/0/0/UB        1       0.00
44aa.f50c.e758    10.161.40.122    C2/0/0/UB        1       !-0.50
64fd.964f.6053    10.204.38.213    C2/0/0/UB        1       0.00
905c.4493.95ca    10.204.57.128    C2/0/0/UB        1       !-1.00
5c7b.5c23.31dd    10.161.47.112    C2/0/0/UB        1       0.00
a0c5.6269.a7e4    10.161.60.17     C2/0/0/UB        1       0.50
24e4.ce37.7f02    10.161.38.41     C2/0/0/UB        1       0.00
e882.5b19.515d    10.161.61.177    C2/0/0/UB        1       0.00
acf8.cca6.5a16    10.204.41.92     C2/0/0/UB        1       0.00
